ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,63000,20424,"Census Tract 1022, Kings County, NY",14000US36047102200
2016,2016,0,Total,83641,7224,"Census Tract 1024, Kings County, NY",14000US36047102400
2016,2016,0,Total,72589,11240,"Census Tract 1026, Kings County, NY",14000US36047102600
2016,2016,0,Total,73000,25974,"Census Tract 1028, Kings County, NY",14000US36047102800
2016,2016,0,Total,23133,5908,"Census Tract 1034, Kings County, NY",14000US36047103400
2016,2016,0,Total,20305,7624,"Census Tract 1058.01, Kings County, NY",14000US36047105801
2016,2016,0,Total,28663,6693,"Census Tract 1058.04, Kings County, NY",14000US36047105804
2016,2016,0,Total,80663,22971,"Census Tract 1070, Kings County, NY",14000US36047107000
2016,2016,0,Total,63563,4912,"Census Tract 1078, Kings County, NY",14000US36047107800
2016,2016,0,Total,46701,5240,"Census Tract 1098, Kings County, NY",14000US36047109800
2016,2016,0,Total,45278,18481,"Census Tract 1104, Kings County, NY",14000US36047110400
2016,2016,0,Total,22321,7147,"Census Tract 1106, Kings County, NY",14000US36047110600
2016,2016,0,Total,16449,2717,"Census Tract 1110, Kings County, NY",14000US36047111000
2016,2016,0,Total,37917,6957,"Census Tract 1116, Kings County, NY",14000US36047111600
2016,2016,0,Total,35313,8582,"Census Tract 1118, Kings County, NY",14000US36047111800
2016,2016,0,Total,25669,10689,"Census Tract 1120, Kings County, NY",14000US36047112000
2016,2016,0,Total,29699,7647,"Census Tract 1122, Kings County, NY",14000US36047112200
2016,2016,0,Total,44489,20804,"Census Tract 1124, Kings County, NY",14000US36047112400
2016,2016,0,Total,41097,10997,"Census Tract 1126, Kings County, NY",14000US36047112600
2016,2016,0,Total,38987,11466,"Census Tract 1128, Kings County, NY",14000US36047112800
2016,2016,0,Total,28164,9874,"Census Tract 1130, Kings County, NY",14000US36047113000
2016,2016,0,Total,50952,12815,"Census Tract 1132, Kings County, NY",14000US36047113200
2016,2016,0,Total,19191,6264,"Census Tract 1134, Kings County, NY",14000US36047113400
2016,2016,0,Total,36272,4365,"Census Tract 1142.01, Kings County, NY",14000US36047114201
2016,2016,0,Total,49662,7357,"Census Tract 1142.02, Kings County, NY",14000US36047114202
2016,2016,0,Total,21824,10664,"Census Tract 1144, Kings County, NY",14000US36047114400
2016,2016,0,Total,42308,12060,"Census Tract 1146, Kings County, NY",14000US36047114600
2016,2016,0,Total,40227,13774,"Census Tract 1150, Kings County, NY",14000US36047115000
2016,2016,0,Total,36176,8185,"Census Tract 1152, Kings County, NY",14000US36047115200
2016,2016,0,Total,15433,9702,"Census Tract 1156, Kings County, NY",14000US36047115600
2016,2016,0,Total,47230,16399,"Census Tract 1158, Kings County, NY",14000US36047115800
2016,2016,0,Total,28750,7007,"Census Tract 1160, Kings County, NY",14000US36047116000
2016,2016,0,Total,43359,9544,"Census Tract 1162, Kings County, NY",14000US36047116200
2016,2016,0,Total,50060,12529,"Census Tract 1164, Kings County, NY",14000US36047116400
2016,2016,0,Total,39821,5906,"Census Tract 1166, Kings County, NY",14000US36047116600
2016,2016,0,Total,36750,16349,"Census Tract 1168, Kings County, NY",14000US36047116800
2016,2016,0,Total,36813,6707,"Census Tract 1170, Kings County, NY",14000US36047117000
2016,2016,0,Total,55594,8381,"Census Tract 1172.01, Kings County, NY",14000US36047117201
2016,2016,0,Total,51157,11264,"Census Tract 1172.02, Kings County, NY",14000US36047117202
2016,2016,0,Total,51891,6671,"Census Tract 1174, Kings County, NY",14000US36047117400
2016,2016,0,Total,46389,6244,"Census Tract 1176.01, Kings County, NY",14000US36047117601
2016,2016,0,Total,40020,10070,"Census Tract 1176.02, Kings County, NY",14000US36047117602
2016,2016,0,Total,45536,14597,"Census Tract 1178, Kings County, NY",14000US36047117800
2016,2016,0,Total,45147,9841,"Census Tract 1182.01, Kings County, NY",14000US36047118201
2016,2016,0,Total,50962,18248,"Census Tract 1182.02, Kings County, NY",14000US36047118202
2016,2016,0,Total,51019,8858,"Census Tract 1184, Kings County, NY",14000US36047118400
2016,2016,0,Total,41711,11527,"Census Tract 1186, Kings County, NY",14000US36047118600
2016,2016,0,Total,39773,11555,"Census Tract 1188, Kings County, NY",14000US36047118800
