UID,Borough,Name
684,Brooklyn,GINGER
685,Queens,NYLA
686,Brooklyn,LILY 
687,Brooklyn,FRITZ
688,Manhattan,FRANK
689,Brooklyn,LOCO
690,Manhattan,ALFIE
691,Brooklyn,ANDY
692,Manhattan,PETTITTE 
693,Manhattan,TONY 
694,Brooklyn,TUGBOAT
695,Manhattan,MAGGIE
696,Manhattan,MAIMOUNA 
697,Manhattan,HEFNER
698,Manhattan,LUIGI
699,Manhattan,LULU
700,Manhattan,LULU
701,Brooklyn,BEAR
702,Brooklyn,JACOB
703,Manhattan,JAMPY
704,Manhattan,MOLLY
705,Manhattan,SHELDON
706,Manhattan,JOOBE 
707,Queens,JOSIE 
708,Brooklyn,CLEO 
709,Manhattan,CLARA
710,Brooklyn,CLAMS 
711,Queens,JASPER
712,Manhattan,MOJO
713,Manhattan,SAWYER
714,Brooklyn,CHANCE
715,Staten Island,TINO
716,Manhattan,TOUGH 
717,Bronx,PELUCHE
718,Manhattan,TANUKI
719,Manhattan,FISTIKI
720,Manhattan,LILY 
721,Brooklyn,BUSY
722,Manhattan,BOOZER
723,Brooklyn,BROWNIE
724,Brooklyn,LIBBY
725,Bronx,MURPHY 
726,Manhattan,COOPER
727,Manhattan,DAGUERRE
728,Queens,DAISY
729,Queens,LEO
730,Brooklyn,DEEPAK
731,Manhattan,CASEY 
732,Brooklyn,OSCAR 
733,Bronx,GORDY
734,Queens,SOPHIE
735,Brooklyn,SOPHI
736,Manhattan,PAPI 
737,Brooklyn,HENRY 
738,Brooklyn,HAZEL
739,Brooklyn,HARVEY
740,Manhattan,MAGGIE
741,Bronx,PRINCESS 
742,Brooklyn,CHARLIE
743,Queens,INNIS
744,Manhattan,CLEO
745,Manhattan,JOEY
746,Staten Island,MIA
747,Brooklyn,CHARLEY 
748,Queens,ELI
749,Staten Island,TEDDY 
750,Queens,HALLY
751,Queens,BULLY
752,Bronx,CECILY
753,Manhattan,LEE 
754,Bronx,VALLEY 
755,Queens,LEYLA
756,Manhattan,OTIS 
757,Manhattan,BUNNY
758,Queens,SNOWFLAKE
759,Bronx,SPARKY
760,Staten Island,RILEY 
761,Manhattan,BEAN
762,Queens,COCO 
763,Queens,CHLOE
764,Queens,RUGBY
765,Queens,BB
766,Manhattan,PRECIOUS 
767,Brooklyn,BLONDIE
768,Brooklyn,BITSY
769,Brooklyn,HITCHCOCK
770,Queens,SOFI
771,Queens,GRETZKY
772,Brooklyn,OLIVER
773,Manhattan,FELIX
774,Queens,YALI
775,Manhattan,DOLCE
776,Queens,LEO
777,Manhattan,LEYLA
778,Brooklyn,KUBRICK
779,Staten Island,RUBY
780,Brooklyn,WINTER 
781,Manhattan,ZIGGY
782,Brooklyn,FINLEY
783,Queens,LOLA
784,Queens,SKI 
785,Queens,MILKTEA
786,Manhattan,SEBASTIAN
787,Bronx,JUNIOR 
788,Queens,MIA 
789,Brooklyn,BELLA
790,Brooklyn,LOLA
791,Manhattan,ARBY
792,Manhattan,ALFI
793,Brooklyn,KOKO 
794,Brooklyn,KHALEESI
795,Brooklyn,COOPER
796,Staten Island,DAKOTA
797,Manhattan,RUBY
798,Manhattan,PENELOPE 
799,Brooklyn,FRED
800,Manhattan,CARLY 
801,Manhattan,GRAZIO
802,Manhattan,SOPHIE
803,Queens,MO
804,Manhattan,CLANCY
805,Queens,SHADOW
806,Manhattan,CHARLES 
807,Queens,RUSTY
808,Staten Island,MAX
809,Manhattan,LIZZIE
810,Brooklyn,SYNAMIN
811,Brooklyn,DOBBY
812,Queens,KENYA 
813,Manhattan,LADY 
814,Queens,LEGO
815,Bronx,CALLIE
816,Bronx,BUTTERS
817,Staten Island,TOBIAS
818,Brooklyn,SILVIODANT
819,Brooklyn,MIMI
820,Staten Island,MAX
821,Manhattan,MAEBEL
822,Manhattan,HERCULES
823,Queens,BLUE
824,Queens,BODHI
825,Brooklyn,THEO
826,Brooklyn,ANZU 
827,Queens,NALA
828,Manhattan,NOLA
829,Manhattan,ARKEDENS 
830,Manhattan,FIEVEL
831,Manhattan,TYSON
832,Staten Island,HEIMDALLR
833,Staten Island,JOJO
834,Manhattan,MOLLY
835,Manhattan,MILO
836,Brooklyn,JASPER
837,Brooklyn,MAX
838,Manhattan,JACK 
839,Manhattan,TAZ
840,Manhattan,TUCKER
841,Manhattan,PABLO 
842,Manhattan,APHRODITE
843,Manhattan,LOLA
844,Manhattan,FLOUNDER 
845,Manhattan,MORGAN
846,Manhattan,MOOSE
847,Brooklyn,BARNABEE
848,Brooklyn,DJANGO
849,Manhattan,HERSHEY
850,Manhattan,MAGGIE
