UID,Borough,BirthMonth
883,Brooklyn,9
884,Manhattan,11
885,Brooklyn,4
886,Manhattan,6
887,Brooklyn,11
888,Manhattan,7
889,Queens,5
890,Manhattan,7
891,Bronx,1
892,Queens,7
893,Brooklyn,4
894,Brooklyn,8
895,Queens,7
896,Manhattan,11
897,Brooklyn,6
898,Queens,1
899,Queens,7
900,Manhattan,4
901,Manhattan,7
902,Brooklyn,2
903,Manhattan,9
904,Manhattan,6
905,Manhattan,2
906,Manhattan,1
907,Manhattan,4
908,Queens,2
909,Manhattan,1
910,Brooklyn,3
911,Manhattan,10
912,Staten Island,8
913,Manhattan,11
914,Manhattan,9
915,Manhattan,12
916,Staten Island,11
917,Manhattan,5
918,Manhattan,4
919,Staten Island,5
920,Manhattan,5
921,Queens,4
922,Brooklyn,10
923,Queens,1
924,Manhattan,7
925,Brooklyn,3
926,Manhattan,4
927,Staten Island,9
928,Brooklyn,7
929,Bronx,4
930,Brooklyn,10
931,Staten Island,8
932,Brooklyn,8
933,Manhattan,11
934,Bronx,8
935,Queens,10
936,Brooklyn,7
937,Brooklyn,8
938,Manhattan,11
939,Manhattan,3
940,Bronx,4
941,Brooklyn,10
942,Queens,1
943,Staten Island,7
944,Staten Island,6
945,Bronx,7
946,Queens,9
947,Bronx,7
948,Brooklyn,5
949,Manhattan,7
950,Brooklyn,9
951,Bronx,7
952,Queens,2
953,Manhattan,8
954,Manhattan,1
955,Manhattan,8
956,Brooklyn,11
957,Manhattan,9
958,Manhattan,10
959,Bronx,1
960,Staten Island,9
961,Staten Island,9
962,Manhattan,9
963,Staten Island,9
964,Brooklyn,7
965,Queens,4
966,Queens,9
967,Manhattan,12
968,Brooklyn,8
969,Manhattan,5
970,Manhattan,1
971,Manhattan,4
972,Manhattan,1
973,Bronx,8
974,Brooklyn,6
975,Manhattan,6
976,Queens,4
977,Manhattan,6
978,Manhattan,3
979,Manhattan,8
980,Manhattan,8
981,Brooklyn,4
982,Manhattan,6
983,Queens,9
984,Manhattan,11
985,Manhattan,9
986,Brooklyn,11
987,Manhattan,1
988,Manhattan,1
989,Bronx,6
990,Brooklyn,1
991,Manhattan,11
992,Manhattan,5
993,Manhattan,6
994,Manhattan,8
995,Queens,8
996,Manhattan,3
997,Manhattan,12
998,Brooklyn,8
999,Brooklyn,8
1000,Bronx,5
1001,Queens,11
1002,Manhattan,7
1003,Queens,9
1004,Queens,8
1005,Brooklyn,8
1006,Manhattan,2
1007,Manhattan,4
1008,Manhattan,9
1009,Manhattan,1
1010,Brooklyn,2
1011,Brooklyn,10
1012,Queens,10
1013,Staten Island,10
1014,Queens,4
1015,Manhattan,8
1016,Staten Island,3
1017,Staten Island,1
1018,Brooklyn,1
1019,Manhattan,11
1020,Bronx,2
1021,Queens,1
1022,Queens,7
1023,Queens,8
1024,Brooklyn,12
1025,Manhattan,1
1026,Brooklyn,8
1027,Queens,9
1028,Manhattan,4
1029,Queens,12
1031,Bronx,8
1032,Manhattan,8
1033,Queens,2
1034,Bronx,9
1035,Staten Island,10
1036,Staten Island,6
1037,Manhattan,1
1038,Brooklyn,3
1039,Manhattan,9
1040,Brooklyn,1
1041,Staten Island,6
1042,Queens,12
1043,Bronx,10
1044,Manhattan,10
1045,Staten Island,1
1046,Staten Island,8
1047,Bronx,7
1048,Queens,5
1049,Manhattan,10
1050,Brooklyn,3
1051,Bronx,8
1052,Bronx,1
1053,Manhattan,6
1054,Bronx,6
1055,Brooklyn,1
1056,Manhattan,1
1057,Bronx,10
1058,Brooklyn,1
1059,Staten Island,5
1060,Bronx,1
1061,Brooklyn,9
1062,Brooklyn,12
1063,Brooklyn,4
